business_name,business_type,pain_point,contact_name
Golden Spoon Cafe,restaurant,low online reservation numbers,Maria
Bright Smile Dental,dental clinic,too many missed appointment reminders,Dr. Ahmed
Urban Fit Gym,fitness studio,difficulty retaining new members,Jake
Sunrise Realty,real estate agency,slow response time to buyer inquiries,Linda
TechNest Solutions,IT consulting,lack of qualified inbound leads,Farhan
Bloom Florist,flower shop,inconsistent walk-in foot traffic,Sophie
Pawsome Pet Grooming,pet grooming salon,low repeat booking rate,Carlos
Cornerstone Law Firm,law firm,difficulty following up with new client inquiries,Rebecca
Fresh Cuts Barbershop,barbershop,long wait times causing walk-outs,Malik
EcoClean Laundry,laundry service,low customer awareness of pickup and delivery service,Anita
